class,precision,recall,f1
Normal,0.9842049282042191,0.9914107142857143,0.9877946801885953
Generic,0.9662118898684924,0.98085,0.9734759199067067
Exploits,0.6877935803757829,0.6314197586320486,0.6584021608456025
Fuzzers,0.8288592628340472,0.7556093268807743,0.7905411236730819
DoS,0.33080043127791753,0.5253587736464449,0.40597334677546393
Reconnaissance,0.7316926167754897,0.694309408064055,0.7125110045974763
Analysis,0.048027444253859346,0.014,0.02168021680216802
Backdoor,0.06620209059233449,0.010882016036655211,0.018691588785046728
Shellcode,0.47182175622542594,0.3177405119152692,0.379746835443038
Worms,0.3333333333333333,0.06923076923076923,0.11464968152866242
