Model,R2 val,R2 test,RMSE test (log),MAE test (log),RMSE test (bytes),MAE test (bytes),fit (s)
Random Forest,0.9994021363211175,0.9993832682210947,0.09839341259574545,0.021390113062849027,17581.438049944598,534.9642924321383,7.61
Decision Tree,0.998879680365891,0.9985539681789662,0.15066306038681518,0.02773137250125496,44299.85943295925,863.1070827701751,1.13
Gradient Boosting,0.9983373524446468,0.9983250381813172,0.16215125551093076,0.06726994275691532,42048.54805781152,2273.9298233294912,42.0
SVR (RBF),0.9950547799951861,0.9946617789431902,0.28947838225819833,0.11711256311297757,114288.4822620149,4539.555489588206,4.39
KNN,0.9936749677450134,0.9916190704081232,0.3627136970119297,0.12616157888572493,85462.55598461555,3524.537981134463,0.0
Ridge,0.9783379681938552,0.9830962394980318,0.5151213204262437,0.2958141540511739,180731.51580307013,11680.507644422563,0.05
Linear Regression,0.9783462410891856,0.9830930397930178,0.5151700716576794,0.2957849408882068,180754.27029269352,11677.540717210575,0.28
Polynomial (deg-2),0.9967080740152005,0.9796241452035619,0.5655562138828655,0.11199589070557923,219333.56293411448,8556.157630751832,5.27
ElasticNet,0.8800916790472394,0.8778706920721977,1.3846110969463985,1.0989582040648702,143890.82949870906,14235.558329695057,0.24
Lasso,0.8165934285234974,0.8113347945852192,1.7209322223076582,1.4401325191004521,144215.56182451887,14430.9972659607,0.28
